oxygen,health,dewpt,no2,h2s,Status,humidity,sound,temperature,sound_max,pm10,co,co2,DeviceID,pressure,performance,pm2_5,TypPS,pm1,humidity_abs,timestamp,tvoc,o3
"[20.713, 1.63]",479,"[19.664, 0.84]","[40.64, 18.2]","[8.26, 0.7]",OK,"[76.874, 4.99]","[66.84, 2.6]","[23.765, 0.53]","[74.7, 1.9]","[15.8, 11.5]","[0.764966, 0.146461]","[1151.9, 84.6]",61c61e378e5095bf25c28a285822f338,"[988.6, 1.0]",191,"[15.0, 11.4]",1.7,"[12.0, 11.0]","[16.577, 0.85]",1725009418000,"[577, 87]","[19.13, 6.1]"
"[20.718, 1.63]",497,"[19.626, 0.84]","[36.43, 16.8]","[8.35, 0.7]",OK,"[76.598, 4.97]","[71.64, 2.1]","[23.785, 0.53]","[78.1, 1.8]","[14.9, 11.3]","[0.76011, 0.145767]","[1116.6, 83.5]",61c61e378e5095bf25c28a285822f338,"[988.56, 1.0]",210,"[14.1, 11.2]",1.7,"[11.5, 11.0]","[16.537, 0.85]",1725009723000,"[568, 85]","[18.06, 6.0]"
"[20.718, 1.63]",497,"[19.626, 0.84]","[36.43, 16.8]","[8.35, 0.7]",OK,"[76.598, 4.97]","[71.64, 2.1]","[23.785, 0.53]","[78.1, 1.8]","[14.9, 11.3]","[0.76011, 0.145767]","[1116.6, 83.5]",61c61e378e5095bf25c28a285822f338,"[988.56, 1.0]",210,"[14.1, 11.2]",1.7,"[11.5, 11.0]","[16.537, 0.85]",1725009723000,"[568, 85]","[18.06, 6.0]"
"[20.721, 1.63]",508,"[19.584, 0.84]","[33.37, 15.7]","[8.33, 0.7]",OK,"[76.347, 4.95]","[72.37, 2.0]","[23.797, 0.53]","[77.3, 1.8]","[14.6, 11.3]","[0.753537, 0.144821]","[1091.8, 82.80001]",61c61e378e5095bf25c28a285822f338,"[988.5099, 1.0]",222,"[13.7, 11.2]",1.7,"[11.2, 11.0]","[16.493, 0.85]",1725010020000,"[568, 85]","[17.74, 5.9]"
"[20.725, 1.63]",524,"[19.573, 0.84]","[31.61, 15.1]","[8.33, 0.7]",OK,"[76.203, 4.94]","[68.63, 2.3]","[23.817, 0.53]","[75.4, 1.9]","[13.1, 11.1]","[0.748228, 0.144062]","[1069.0, 82.1]",61c61e378e5095bf25c28a285822f338,"[988.46, 1.0]",230,"[12.5, 11.1]",1.6,"[10.7, 11.0]","[16.481, 0.85]",1725010326000,"[582, 87]","[18.15, 6.0]"
