oxygen,health,dewpt,no2,h2s,Status,humidity,sound,temperature,sound_max,pm10,co,co2,DeviceID,pressure,performance,pm2_5,TypPS,pm1,humidity_abs,timestamp,tvoc,o3
"[20.912, 1.58]",781,"[18.213, 0.8]","[29.77, 16.8]","[6.61, 0.5]",OK,"[65.638, 4.14]","[44.15, 4.2]","[24.891, 0.53]","[52.6, 2.8]","[5.4, 10.4]","[0.469818, 0.11356]","[547.8, 66.4]",b2c34d6467e6b7171f93e0fc9cfeee7d,"[982.88, 1.0]",680,"[5.1, 10.3]",1.6,"[4.5, 10.1]","[15.086, 0.75]",1723628987000,"[359, 54]","[23.14, 2.9]"
"[20.912, 1.58]",781,"[18.213, 0.8]","[29.77, 16.8]","[6.61, 0.5]",OK,"[65.638, 4.14]","[44.15, 4.2]","[24.891, 0.53]","[52.6, 2.8]","[5.4, 10.4]","[0.469818, 0.11356]","[547.8, 66.4]",b2c34d6467e6b7171f93e0fc9cfeee7d,"[982.88, 1.0]",680,"[5.1, 10.3]",1.6,"[4.5, 10.1]","[15.086, 0.75]",1723628987000,"[359, 54]","[23.14, 2.9]"
