oxygen,health,dewpt,no2,h2s,Status,humidity,sound,temperature,sound_max,pm10,co,co2,DeviceID,pressure,performance,pm2_5,TypPS,pm1,humidity_abs,timestamp,tvoc,o3
"[20.799, 1.63]",255,"[19.383, 0.84]","[29.53, 6.5]","[1.14, 0.5]",OK,"[77.257, 5.03]","[58.93, 3.7]","[23.392, 0.53]","[77.6, 1.8]","[30.3, 13.1]","[1.0431, 0.1734]","[638.1, 69.1]",81042a53117ae754187b0d9509d3686c,"[989.1, 1.0]",434,"[28.9, 13.0]",1.8,"[20.9, 12.0]","[16.31, 0.84]",1725009623000,"[0, 0]","[47.7, 12.1]"
"[20.799, 1.63]",255,"[19.383, 0.84]","[29.53, 6.5]","[1.14, 0.5]",OK,"[77.257, 5.03]","[58.93, 3.7]","[23.392, 0.53]","[77.6, 1.8]","[30.3, 13.1]","[1.0431, 0.1734]","[638.1, 69.1]",81042a53117ae754187b0d9509d3686c,"[989.1, 1.0]",434,"[28.9, 13.0]",1.8,"[20.9, 12.0]","[16.31, 0.84]",1725009623000,"[0, 0]","[47.7, 12.1]"
"[20.804, 1.63]",263,"[19.347, 0.84]","[29.89, 6.5]","[1.73, 0.4]",OK,"[77.043, 5.01]","[57.3, 3.6]","[23.401, 0.53]","[74.5, 1.9]","[30.2, 13.0]","[1.0532, 0.175]","[638.0, 69.1]",81042a53117ae754187b0d9509d3686c,"[989.06, 1.0]",452,"[28.5, 12.9]",1.9,"[20.5, 12.0]","[16.273, 0.84]",1725009927000,"[0, 0]","[44.9, 11.5]"
"[20.802, 1.63]",271,"[19.332, 0.84]","[30.08, 6.5]","[1.74, 0.4]",OK,"[76.88301, 5.0]","[56.9, 3.8]","[23.42, 0.53]","[79.9, 1.8]","[29.3, 12.9]","[1.0504, 0.1746]","[650.8, 69.5]",81042a53117ae754187b0d9509d3686c,"[989.01, 1.0]",442,"[27.6, 12.8]",1.9,"[20.1, 12.0]","[16.257, 0.84]",1725010225000,"[0, 0]","[44.72, 11.4]"
