timestamp_utc,tz_offset,datetime,mrid,measurement,value,units,precision,port_num,sub_sensor_index,sensor_sn,sensor_name,error_flag,error_description,depth
1719951300,7200,2024-07-02 22:15:00+02:00,50488,VPD,0.53, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719951000,7200,2024-07-02 22:10:00+02:00,50487,VPD,0.61, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719950700,7200,2024-07-02 22:05:00+02:00,50486,VPD,0.64, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719950400,7200,2024-07-02 22:00:00+02:00,50485,VPD,0.66, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719950100,7200,2024-07-02 21:55:00+02:00,50484,VPD,0.65, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719949800,7200,2024-07-02 21:50:00+02:00,50483,VPD,0.66, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719949500,7200,2024-07-02 21:45:00+02:00,50482,VPD,0.73, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719949200,7200,2024-07-02 21:40:00+02:00,50481,VPD,0.72, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719948900,7200,2024-07-02 21:35:00+02:00,50480,VPD,0.72, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719948600,7200,2024-07-02 21:30:00+02:00,50479,VPD,0.77, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719948300,7200,2024-07-02 21:25:00+02:00,50478,VPD,0.78, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719948000,7200,2024-07-02 21:20:00+02:00,50477,VPD,0.78, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719947700,7200,2024-07-02 21:15:00+02:00,50476,VPD,0.8, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719947400,7200,2024-07-02 21:10:00+02:00,50475,VPD,0.81, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719947100,7200,2024-07-02 21:05:00+02:00,50474,VPD,0.82, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719946800,7200,2024-07-02 21:00:00+02:00,50473,VPD,0.86, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719946500,7200,2024-07-02 20:55:00+02:00,50472,VPD,0.89, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719946200,7200,2024-07-02 20:50:00+02:00,50471,VPD,0.89, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719945900,7200,2024-07-02 20:45:00+02:00,50470,VPD,0.9, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719945600,7200,2024-07-02 20:40:00+02:00,50469,VPD,0.89, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719945300,7200,2024-07-02 20:35:00+02:00,50468,VPD,0.9, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719945000,7200,2024-07-02 20:30:00+02:00,50467,VPD,0.91, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719944700,7200,2024-07-02 20:25:00+02:00,50466,VPD,0.93, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719944400,7200,2024-07-02 20:20:00+02:00,50465,VPD,0.92, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
1719944100,7200,2024-07-02 20:15:00+02:00,50464,VPD,0.93, kPa,2,1,16,A4100209,ATMOS 41W,False,,Not Set
