timestamp_utc,tz_offset,datetime,mrid,measurement,value,units,precision,port_num,sub_sensor_index,sensor_sn,sensor_name,error_flag,error_description,depth
1719944100,7200,2024-07-02 20:15:00+02:00,50464,Wind Direction,47.7,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719943800,7200,2024-07-02 20:10:00+02:00,50463,Wind Direction,62.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719943500,7200,2024-07-02 20:05:00+02:00,50462,Wind Direction,43.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719943200,7200,2024-07-02 20:00:00+02:00,50461,Wind Direction,42.6,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719942900,7200,2024-07-02 19:55:00+02:00,50460,Wind Direction,35.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719942600,7200,2024-07-02 19:50:00+02:00,50459,Wind Direction,32.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719942300,7200,2024-07-02 19:45:00+02:00,50458,Wind Direction,42.9,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719942000,7200,2024-07-02 19:40:00+02:00,50457,Wind Direction,47.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719941700,7200,2024-07-02 19:35:00+02:00,50456,Wind Direction,355.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719941400,7200,2024-07-02 19:30:00+02:00,50455,Wind Direction,347.7,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719941100,7200,2024-07-02 19:25:00+02:00,50454,Wind Direction,329.0,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719940800,7200,2024-07-02 19:20:00+02:00,50453,Wind Direction,357.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719940500,7200,2024-07-02 19:15:00+02:00,50452,Wind Direction,59.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719940200,7200,2024-07-02 19:10:00+02:00,50451,Wind Direction,62.1,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719939900,7200,2024-07-02 19:05:00+02:00,50450,Wind Direction,50.4,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719939600,7200,2024-07-02 19:00:00+02:00,50449,Wind Direction,74.1,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
1719939300,7200,2024-07-02 18:55:00+02:00,50448,Wind Direction,82.2,°,1,1,5,A4100209,ATMOS 41W,False,,Not Set
