timestamp_utc,tz_offset,datetime,mrid,measurement,value,units,precision,port_num,sub_sensor_index,sensor_sn,sensor_name,error_flag,error_description,depth
1719945000,7200,2024-07-02 20:30:00+02:00,50467,Vapor Pressure,1.247, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719944700,7200,2024-07-02 20:25:00+02:00,50466,Vapor Pressure,1.23, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719944400,7200,2024-07-02 20:20:00+02:00,50465,Vapor Pressure,1.239, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719944100,7200,2024-07-02 20:15:00+02:00,50464,Vapor Pressure,1.24, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719943800,7200,2024-07-02 20:10:00+02:00,50463,Vapor Pressure,1.245, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719943500,7200,2024-07-02 20:05:00+02:00,50462,Vapor Pressure,1.227, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719943200,7200,2024-07-02 20:00:00+02:00,50461,Vapor Pressure,1.224, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719942900,7200,2024-07-02 19:55:00+02:00,50460,Vapor Pressure,1.231, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719942600,7200,2024-07-02 19:50:00+02:00,50459,Vapor Pressure,1.242, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719942300,7200,2024-07-02 19:45:00+02:00,50458,Vapor Pressure,1.242, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719942000,7200,2024-07-02 19:40:00+02:00,50457,Vapor Pressure,1.236, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719941700,7200,2024-07-02 19:35:00+02:00,50456,Vapor Pressure,1.25, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
1719941400,7200,2024-07-02 19:30:00+02:00,50455,Vapor Pressure,1.273, kPa,3,1,9,A4100209,ATMOS 41W,False,,Not Set
